Pod ID;;1999-2000 Estimate;2001-04 Estimate;2005-12 Estimate
AF5;Southeast Alaska;49;61;46
AG;Southeast Alaska;27;33;42
AZ;Southeast Alaska;23;23;0
Southeast Alaska;Southeast Alaska;99;117;88
AA1;Prince William Sound;0;8;8
AA30;Prince William Sound;0;0;24
AB;Prince William Sound;25;19;20
AB25;Prince William Sound;0;10;19
AD05;Prince William Sound;0;16;22
AD16;Prince William Sound;7;4;9
AE;Prince William Sound;16;19;17
AH01;Prince William Sound;0;9;9
AH20;Prince William Sound;0;12;12
AI;Prince William Sound;7;7;8
AJ;Prince William Sound;38;42;57
AK;Prince William Sound;12;13;19
AL;Prince William Sound;0;0;23
AN10;Prince William Sound;20;27;36
AN20;Prince William Sound;9;33;30
AS2;Prince William Sound;20;21;31
AS30;Prince William Sound;0;14;19
AW;Prince William Sound;0;24;27
AX01;Prince William Sound;21;20;33
AX27;Prince William Sound;0;24;26
AX32;Prince William Sound;0;15;18
AX40;Prince William Sound;0;14;16
AX48;Prince William Sound;0;20;23
AY;Prince William Sound;11;18;21
Unassigned to pods;Prince William Sound;138;112;220
Prince William Sound;Prince William Sound;324;501;747
